timestamp,Air Temperature,QC code,comments
2015-01-03 15:54:14,15.9,200.0,NEMS_gapData
2015-01-03 16:24:28,15.7,200.0,NEMS_gapData
2015-01-03 16:54:43,16,200.0,spike_test NEMS_gapData NEMS_resolution
2015-01-03 17:23:31,15.4,200.0,spike_test NEMS_gapData
2015-01-03 17:53:45,15.7,200.0,NEMS_gapData
2015-01-03 18:24:00,15.4,200.0,NEMS_gapData
2015-01-03 18:54:14,15,200.0,NEMS_gapData NEMS_resolution
2015-01-03 19:24:28,14.7,200.0,NEMS_gapData
2015-01-03 19:54:43,14.9,200.0,NEMS_gapData
2015-01-03 20:23:31,14.6,200.0,NEMS_gapData
2015-01-03 20:53:45,14.3,200.0,NEMS_gapData
2015-01-03 21:24:00,14.4,200.0,NEMS_gapData
2015-01-03 21:54:14,14.4,200.0,NEMS_gapData
2015-01-03 22:24:28,14.5,200.0,NEMS_gapData
2015-01-03 22:53:16,14.5,200.0,NEMS_gapData
2015-01-03 23:23:31,14.5,200.0,NEMS_gapData
2015-01-03 23:53:45,13.9,200.0,NEMS_gapData
2015-01-04 00:24:00,13.8,200.0,NEMS_gapData
2015-01-04 00:54:14,13.9,200.0,NEMS_gapData
2015-01-04 01:24:28,13.6,200.0,NEMS_gapData
2015-01-04 01:54:43,13.4,200.0,NEMS_gapData
2015-01-04 02:23:31,13.6,200.0,NEMS_gapData
2015-01-04 02:53:45,13.8,200.0,NEMS_gapData
2015-01-04 03:24:00,13.4,200.0,NEMS_gapData
2015-01-04 03:54:14,13.3,200.0,NEMS_gapData
2015-01-04 04:24:28,13.2,200.0,NEMS_gapData
2015-01-04 04:53:16,13.3,200.0,NEMS_gapData
2015-01-04 05:23:31,13.4,200.0,NEMS_gapData
2015-01-04 05:53:45,13.6,200.0,NEMS_gapData
2015-01-04 06:24:00,13.6,200.0,NEMS_gapData
2015-01-04 06:54:14,14.1,200.0,NEMS_gapData
2015-01-04 07:24:28,14.5,200.0,spike_test NEMS_gapData
2015-01-04 07:54:43,16.2,200.0,gross_range_test spike_test NEMS_gapData
2015-01-04 08:23:31,15.8,200.0,spike_test NEMS_gapData
2015-01-04 08:53:45,16.1,200.0,gross_range_test NEMS_gapData
2015-01-04 09:24:00,15.8,200.0,NEMS_gapData
2015-01-04 09:54:14,15.8,200.0,NEMS_gapData
2015-01-04 10:23:02,15.9,200.0,NEMS_gapData
2015-01-04 10:53:16,16,200.0,NEMS_gapData NEMS_resolution
2015-01-04 11:24:57,16.1,200.0,gross_range_test NEMS_gapData
2015-01-04 11:53:45,16.1,200.0,gross_range_test NEMS_gapData
2015-01-04 12:24:00,16.1,200.0,gross_range_test NEMS_gapData
2015-01-04 12:54:14,16.1,200.0,gross_range_test NEMS_gapData
2015-01-04 13:24:28,16.2,200.0,gross_range_test NEMS_gapData
2015-01-04 13:54:43,16.3,200.0,gross_range_test NEMS_gapData
2015-01-04 14:23:31,16.5,200.0,gross_range_test NEMS_gapData
2015-01-04 14:53:45,16.4,200.0,gross_range_test NEMS_gapData
2015-01-04 15:24:00,16.4,200.0,gross_range_test NEMS_gapData
2015-01-04 15:54:14,16.6,200.0,gross_range_test NEMS_gapData
2015-01-04 16:23:02,16.6,200.0,gross_range_test NEMS_gapData
2015-01-04 16:53:16,16.7,200.0,gross_range_test NEMS_gapData
2015-01-04 17:23:31,16.8,200.0,gross_range_test NEMS_gapData
2015-01-04 17:53:45,16.8,200.0,gross_range_test NEMS_gapData
2015-01-04 18:24:00,16.8,200.0,gross_range_test NEMS_gapData
2015-01-04 18:54:14,16.7,200.0,gross_range_test NEMS_gapData
2015-01-04 19:24:28,16.5,200.0,gross_range_test NEMS_gapData
2015-01-04 19:54:43,16.4,200.0,gross_range_test NEMS_gapData
2015-01-04 20:23:31,15.9,200.0,NEMS_gapData
2015-01-04 20:53:45,15.7,200.0,NEMS_gapData
2015-01-04 21:24:00,15.5,200.0,NEMS_gapData
2015-01-04 21:54:14,15.6,200.0,NEMS_gapData
2015-01-04 22:24:28,15.5,200.0,NEMS_gapData
2015-01-04 22:53:16,15.4,200.0,NEMS_gapData
2015-01-04 23:53:45,14.8,200.0,NEMS_gapData
2015-01-05 00:24:00,14.8,200.0,NEMS_gapData
2015-01-05 00:41:16,14.7,200.0,NEMS_gapData
2015-01-05 01:24:28,14.8,200.0,NEMS_gapData
2015-01-05 01:41:45,14.7,200.0,NEMS_gapData
2015-01-05 02:24:57,14.7,200.0,NEMS_gapData
2015-01-05 02:53:45,14.5,200.0,NEMS_gapData
2015-01-05 03:24:00,14.3,200.0,NEMS_gapData
2015-01-05 03:54:14,14.1,200.0,NEMS_gapData
2015-01-05 04:24:28,14,200.0,NEMS_gapData NEMS_resolution
2015-01-05 04:54:43,13.7,200.0,NEMS_gapData
2015-01-05 05:23:31,13.7,200.0,NEMS_gapData
2015-01-05 05:53:45,13.6,200.0,NEMS_gapData
2015-01-05 06:24:00,13.8,200.0,spike_test NEMS_gapData
2015-01-05 06:54:14,15.3,200.0,NEMS_gapData
2015-01-05 07:23:02,16.2,200.0,gross_range_test NEMS_gapData
2015-01-05 07:53:16,16.9,200.0,gross_range_test spike_test NEMS_gapData
2015-01-05 08:23:31,16.8,200.0,gross_range_test spike_test NEMS_gapData
2015-01-05 08:53:45,17.6,200.0,gross_range_test NEMS_gapData
2015-01-05 09:24:00,17.9,200.0,gross_range_test spike_test NEMS_gapData
2015-01-05 09:54:14,17.5,200.0,gross_range_test NEMS_gapData
2015-01-05 10:23:02,17.6,200.0,gross_range_test NEMS_gapData
2015-01-05 10:53:16,18.2,200.0,gross_range_test NEMS_gapData
2015-01-05 11:23:31,18.4,200.0,gross_range_test NEMS_gapData
2015-01-05 11:53:45,18.1,200.0,gross_range_test NEMS_gapData
2015-01-05 12:24:00,17.7,200.0,gross_range_test NEMS_gapData
2015-01-05 12:54:14,17.8,200.0,gross_range_test NEMS_gapData
2015-01-05 13:24:28,17.8,200.0,gross_range_test NEMS_gapData
2015-01-05 13:53:16,18,200.0,gross_range_test NEMS_gapData NEMS_resolution
2015-01-05 14:23:31,18,200.0,gross_range_test NEMS_gapData NEMS_resolution
2015-01-05 14:53:45,17.9,200.0,gross_range_test NEMS_gapData
2015-01-05 15:24:00,18,200.0,gross_range_test NEMS_gapData NEMS_resolution
2015-01-05 15:54:14,18,200.0,gross_range_test NEMS_gapData NEMS_resolution
2015-01-05 16:23:02,18,200.0,gross_range_test NEMS_gapData NEMS_resolution
2015-01-05 16:53:16,18.2,200.0,gross_range_test NEMS_gapData
2015-01-05 17:23:31,18.2,200.0,gross_range_test NEMS_gapData
2015-01-05 17:53:45,18.4,200.0,gross_range_test NEMS_gapData
2015-01-05 18:24:00,18.2,200.0,gross_range_test NEMS_gapData
2015-01-05 18:54:14,17.8,200.0,gross_range_test spike_test NEMS_gapData
2015-01-05 19:23:02,18.2,200.0,gross_range_test spike_test NEMS_gapData
2015-01-05 19:54:43,17.8,200.0,gross_range_test NEMS_gapData
2015-01-05 20:23:31,17.5,200.0,gross_range_test spike_test NEMS_gapData
2015-01-05 20:53:45,16.4,200.0,gross_range_test spike_test NEMS_gapData
2015-01-05 21:24:00,16.1,200.0,gross_range_test NEMS_gapData
2015-01-05 21:54:14,16.1,200.0,gross_range_test NEMS_gapData
2015-01-05 22:24:28,16.2,200.0,gross_range_test NEMS_gapData
2015-01-05 22:53:16,16,200.0,NEMS_gapData NEMS_resolution
2015-01-05 23:23:31,16.1,200.0,gross_range_test NEMS_gapData
2015-01-05 23:53:45,15.9,200.0,NEMS_gapData
2015-01-06 00:24:00,16.1,200.0,gross_range_test NEMS_gapData
2015-01-06 00:54:14,16.8,200.0,gross_range_test NEMS_gapData
2015-01-06 01:24:28,17.1,200.0,gross_range_test NEMS_gapData
2015-01-06 01:54:43,17.6,200.0,gross_range_test spike_test NEMS_gapData
2015-01-06 02:23:31,17.3,200.0,gross_range_test spike_test NEMS_gapData
2015-01-06 02:53:45,15.8,200.0,spike_test NEMS_gapData
2015-01-06 03:24:00,15.4,200.0,NEMS_gapData
2015-01-06 03:54:14,15.4,200.0,NEMS_gapData
2015-01-06 04:23:02,15.2,200.0,NEMS_gapData
2015-01-06 04:53:16,14.7,200.0,NEMS_gapData
